Timestamp,Open,High,Low,Close,Vol,VolCcy,Rate
2018/3/26,8453,8495.6,7850.1,8137.4,6615.211714,54137807.20467287,2.06
2018/3/27,8140.1,8208.5,7738,7797.9,7595.074999,60387622.43007349,2.1
2018/3/28,7789.9,8095,7740,7941.9,6082.320172,48175857.86470419,2.12
2018/3/29,7928.2,7975.8,6978,7238.3,10809.92239,80718158.42695369,2.09
2018/3/30,7251.5,7400,6570.3,6844.9,12147.62149,83760403.36245498,2.09
2018/3/31,6844.9,7208,6790,6931.4,8112.161559,56873637.13033165,2.09
2018/4/1,6921.5,7043.9,6432.8,6813.4,8373.153729,56613462.68927764,2.09
2018/4/2,6811.1,7117.1,6774.4,7053.5,7177.203616,50108083.90217288,2.08
2018/4/3,7059.8,7504.5,7015,7409.4,7240.370991,52957970.21386513,2.09
2018/4/4,7405,7419,6706,6797.4,7610.563724,53848894.05801807,2.07
2018/4/5,6795.7,6899.8,6571.5,6770.2,7443.419702,50223077.58075781,2.07
2018/4/6,6766.8,6853.8,6501,6609.3,6777.551424,45016491.77458603,2.06
2018/4/7,6600.2,7170.9,6595,6889.1,6902.672891,47509483.6,2.06
2018/4/8,6894.9,7110,6887.7,7024.4,5500.757091,38459806.89980091,2.06
2018/4/9,7010,7180,6620,6772.9,7413.827456,51057608.62083914,2.08
2018/4/10,6773.6,6879.9,6656.3,6833,4785.304195,32382656.07724546,2.09
2018/4/11,6828.4,6980,6791.1,6956.7,5055.811918,34744739.89147747,2.09
2018/4/12,6946,8000,6765,7920,12987.74165,95785800.56452261,2.11
2018/4/13,7920,8221.9,7736.3,7874.2,9171.100027,73256096.74352231,2.12
2018/4/14,7886.8,8180,7826,7999.9,5962.751896,47702453.35339354,2.12
2018/4/15,7987.1,8400,7987.1,8350,5224.021832,42925496.79654326,2.12
2018/4/16,8357.3,8400,7888.6,8054,6020.552058,48642838.16123473,2.12
2018/4/17,8054,8166.1,7826,7889.8,5244.114529,42091468.25432495,2.16
2018/4/18,7886,8224.9,7870.1,8170.5,5839.891819,47089648.77195624,2.17
2018/4/19,8174,8294.9,8103.6,8287.7,5593.784678,45927571.28147124,2.21
2018/4/20,8287.7,8920,8200,8858.6,7249.851672,61377627.77881305,2.22
2018/4/21,8858.2,9034.9,8601,8907.4,6198.258133,54508264.76202995,2.22
2018/4/22,8903.5,9019.9,8743.3,8797.2,5689.763384,50547440.93396128,2.22
2018/4/23,8790,8995.1,8763,8946,5890.052877,52370304.99035312,2.25
2018/4/24,8946,9745,8917.4,9623,7931.263387,73820348.74430683,2.25
2018/4/25,9637.7,9758.3,8771.9,8867.5,10884.52768,100556761.87677544,2.26
2018/4/26,8858.5,9317.9,8652.9,9276.1,8732.276416,77515528.36,2.25
2018/4/27,9267.3,9386.8,8905,8935.3,7481.239716,68944880.74009736,2.24
2018/4/28,8934.8,9433.7,8866.2,9352.6,7400.869388,68364988.39830584,2.24
2018/4/29,9342,9566,9157.3,9418.7,8362.296837,78361035.98091676,2.24
2018/4/30,9418.7,9502.6,9111,9253.3,6698.455641,62241150.81189451,2.24
2018/5/1,9237.6,9237.7,8827.4,9070.3,5923.455035,53238967.80390172,2.26
2018/5/2,9070.4,9277,8980,9236.3,7550.845082,68949191.34240031,2.24
2018/5/3,9248,9836.5,9149.7,9758.8,12562.88252,118267307.75607468,2.24
2018/5/4,9759,9822,9530.1,9714.7,11598.1042,112304511.8041274,2.24
2018/5/5,9699.1,9997,9684.2,9878.9,12251.37774,120909293.18800685,2.24
2018/5/6,9888.3,9988.8,9445,9664.2,12406.42023,120168809.74379365,2.24
2018/5/7,9667.2,9690,9200,9365.9,11557.08387,108156023.43971267,2.25
2018/5/8,9365.9,9469.9,9066.6,9180,10606.09816,98284612.42472442,2.26
2018/5/9,9183.4,9385,8975.6,9320.8,10593.67069,97442299.47945738,2.27
2018/5/10,9320.8,9396.5,9001,9033.1,11712.28452,108547798.93355427,2.27
2018/5/11,9010,9032.4,8333.4,8414.2,15682.36648,136616853.55355197,2.28
2018/5/12,8414.2,8631,8123.9,8468.3,14510.71518,121761086.09934221,2.28
2018/5/13,8475.7,8749.9,8260,8676.2,11719.42535,100050504.43104879,2.28
2018/5/14,8665.2,8877.1,8280,8665.9,13025.74965,111691948.8063976,2.28
2018/5/15,8652.1,8850,8412,8460.6,14069.77203,121289795.69077791,2.31
