date,rate
2020/8/2,0.11
2020/8/3,0.12
2020/8/4,0.14
2020/8/5,0.12
2020/8/6,0.14
2020/8/7,0.14
2020/8/8,0.14
2020/8/9,0.14
2020/8/10,0.13
2020/8/11,0.15
2020/8/12,0.13
2020/8/13,0.14
2020/8/14,0.13
2020/8/15,0.13
2020/8/16,0.13
2020/8/17,0.13
2020/8/18,0.13
2020/8/19,0.13
2020/8/20,0.12
2020/8/21,0.13
2020/8/22,0.13
2020/8/23,0.13
2020/8/24,0.14
2020/8/25,0.13
2020/8/26,0.12
2020/8/27,0.13
2020/8/28,0.12
2020/8/29,0.12
2020/8/30,0.12
2020/8/31,0.12
2020/9/1,0.12
2020/9/2,0.13
2020/9/3,0.12
2020/9/4,0.13
2020/9/5,0.13
2020/9/6,0.13
2020/9/7,0.13
2020/9/8,0.15
2020/9/9,0.14
2020/9/10,0.15
2020/9/11,0.13
2020/9/12,0.13
2020/9/13,0.13
2020/9/14,0.14
2020/9/15,0.13
2020/9/16,0.12
2020/9/17,0.12
2020/9/18,0.13
2020/9/19,0.13
2020/9/20,0.13
2020/9/21,0.12
2020/9/22,0.12
2020/9/23,0.13
2020/9/24,0.12
2020/9/25,0.12
2020/9/26,0.12
2020/9/27,0.12
2020/9/28,0.12
2020/9/29,0.12
2020/9/30,0.12
2020/10/1,0.12
2020/10/2,0.12
2020/10/3,0.12
2020/10/4,0.12
2020/10/5,0.12
2020/10/6,0.14
2020/10/7,0.13
2020/10/8,0.13
2020/10/9,0.15
2020/10/10,0.15
2020/10/11,0.15
2020/10/12,0.15
2020/10/13,0.13
2020/10/14,0.13
2020/10/15,0.12
2020/10/16,0.12
2020/10/17,0.12
2020/10/18,0.12
2020/10/19,0.13
2020/10/20,0.13
2020/10/21,0.13
2020/10/22,0.13
2020/10/23,0.12
2020/10/24,0.12
2020/10/25,0.12
2020/10/26,0.12
2020/10/27,0.12
2020/10/28,0.12
2020/10/29,0.12
2020/10/30,0.13
2020/10/31,0.13
2020/11/1,0.13
2020/11/2,0.13
2020/11/3,0.14
2020/11/4,0.12
2020/11/5,0.12
2020/11/6,0.12
2020/11/7,0.12
2020/11/8,0.12
2020/11/9,0.12
2020/11/10,0.12
2020/11/11,0.12
2020/11/12,0.13
2020/11/13,0.12
2020/11/14,0.12
2020/11/15,0.12
2020/11/16,0.12
2020/11/17,0.12
2020/11/18,0.11
2020/11/19,0.11
2020/11/20,0.11
2020/11/21,0.11
2020/11/22,0.11
2020/11/23,0.1
2020/11/24,0.11
2020/11/25,0.11
2020/11/26,0.11
2020/11/27,0.11
2020/11/28,0.11
2020/11/29,0.11
2020/11/30,0.11
2020/12/1,0.12
2020/12/2,0.11
2020/12/3,0.1
2020/12/4,0.11
2020/12/5,0.11
2020/12/6,0.11
2020/12/7,0.1
2020/12/8,0.1
2020/12/9,0.1
2020/12/10,0.1
2020/12/11,0.1
2020/12/12,0.1
2020/12/13,0.1
2020/12/14,0.1
2020/12/15,0.09
2020/12/16,0.09
2020/12/17,0.09
2020/12/18,0.09
2020/12/19,0.09
2020/12/20,0.09
2020/12/21,0.09
2020/12/22,0.09
2020/12/23,0.09
2020/12/24,0.1
2020/12/25,0.1
2020/12/26,0.1
2020/12/27,0.1
2020/12/28,0.11
2020/12/29,0.11
2020/12/30,0.12
2020/12/31,0.1
2021/1/1,0.1
2021/1/2,0.1
2021/1/3,0.1
2021/1/4,0.1
2021/1/5,0.1
2021/1/6,0.11
2021/1/7,0.11
2021/1/8,0.1
2021/1/9,0.1
2021/1/10,0.1
2021/1/11,0.1
2021/1/12,0.11
2021/1/13,0.12
2021/1/14,0.1
2021/1/15,0.1
2021/1/16,0.1
2021/1/17,0.1
2021/1/18,0.1
2021/1/19,0.1
2021/1/20,0.1
2021/1/21,0.1
2021/1/22,0.1
2021/1/23,0.1
2021/1/24,0.1
2021/1/25,0.1
2021/1/26,0.09
2021/1/27,0.09
2021/1/28,0.08
2021/1/29,0.1
2021/1/30,0.1
2021/1/31,0.1
2021/2/1,0.08
2021/2/2,0.08
2021/2/3,0.08
2021/2/4,0.07
2021/2/5,0.06
2021/2/6,0.06
2021/2/7,0.06
2021/2/8,0.07
2021/2/9,0.07
2021/2/10,0.07
2021/2/11,0.07
2021/2/12,0.06
2021/2/13,0.06
2021/2/14,0.06
2021/2/15,0.06
2021/2/16,0.08
2021/2/17,0.07
2021/2/18,0.06
2021/2/19,0.07
2021/2/20,0.07
2021/2/21,0.07
2021/2/22,0.06
2021/2/23,0.08
2021/2/24,0.08
2021/2/25,0.09
2021/2/26,0.08
2021/2/27,0.08
2021/2/28,0.08
2021/3/1,0.08
2021/3/2,0.08
2021/3/3,0.08
2021/3/4,0.08
2021/3/5,0.08
2021/3/6,0.08
2021/3/7,0.08
2021/3/8,0.09
2021/3/9,0.1
2021/3/10,0.08
2021/3/11,0.08
2021/3/12,0.09
2021/3/13,0.09
2021/3/14,0.09
2021/3/15,0.08
2021/3/16,0.07
2021/3/17,0.07
2021/3/18,0.08
2021/3/19,0.07
2021/3/20,0.07
2021/3/21,0.07
2021/3/22,0.06
2021/3/23,0.08
2021/3/24,0.07
2021/3/25,0.07
2021/3/26,0.06
2021/3/27,0.06
2021/3/28,0.06
2021/3/29,0.06
2021/3/30,0.06
2021/3/31,0.07
2021/4/1,0.06
2021/4/2,0.07
2021/4/3,0.07
2021/4/4,0.07
2021/4/5,0.06
2021/4/6,0.06
2021/4/7,0.06
2021/4/8,0.05
2021/4/9,0.06
2021/4/10,0.06
2021/4/11,0.06
2021/4/12,0.06
2021/4/13,0.06
